Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),c6
-1.0,11.55,-1.0,157.5,448.0,4.745,0.461335
-1.0,8.9,-1.0,156.5,486.5,3.983,0.443445
-1.0,8.3,-1.0,159.0,457.5,2.935,0.2791005
-1.0,9.4,-1.0,159.5,419.5,2.71,0.1698915
-1.0,8.55,-1.0,158.5,316.0,1.613,0.09669825
-1.0,8.9,-1.0,159.0,344.0,1.54,0.08424
74.0,7.2,5.35,122.0,113.0,0.803,0.05805
88.5,15.2,14.5,136.5,352.5,2.42,0.3179085
-1.0,6.5,-1.0,158.5,297.0,3.283,0.1166435
86.5,8.6,6.7,146.0,375.0,1.833,0.15522375
134.0,9.6,-1.0,152.0,445.0,2.875,0.449064
-1.0,11.7,-1.0,154.0,432.5,6.065,0.38095475
99.5,13.8,12.35,135.0,425.0,2.825,0.247975
-1.0,9.15,-1.0,158.0,440.0,2.555,0.20961
-1.0,6.35,-1.0,158.0,306.5,2.455,0.132288
-1.0,8.45,-1.0,157.5,373.0,2.045,0.1325675
-1.0,5.35,-1.0,158.0,346.5,2.558,0.131865
-1.0,6.1,-1.0,156.5,312.0,3.093,0.096408
-1.0,6.6,-1.0,155.5,271.5,1.765,0.1134
-1.0,6.6,-1.0,158.5,356.5,1.813,0.100161
-1.0,5.8,-1.0,157.5,373.5,3.213,0.1333125
-1.0,7.45,-1.0,160.0,267.5,2.143,0.11322675
-1.0,6.35,-1.0,159.0,329.0,2.54,0.130416
-1.0,7.0,-1.0,155.5,275.5,1.943,0.16124775
-1.0,5.0,-1.0,156.0,380.0,3.105,0.13746375
-1.0,6.9,-1.0,158.0,280.5,2.595,0.0962
-1.0,5.95,-1.0,157.0,308.0,2.365,0.09496525
-1.0,7.6,-1.0,159.5,378.0,2.958,0.1557795
-1.0,3.6,-1.0,158.0,234.0,1.885,0.07484775
-1.0,8.85,-1.0,159.5,362.5,2.028,0.10773
134.0,13.8,-1.0,154.5,429.0,2.768,0.406315
-1.0,6.65,-1.0,157.0,302.0,1.608,0.081775
-1.0,9.65,-1.0,160.0,430.5,2.76,0.188188
-1.0,7.2,-1.0,159.0,321.0,1.943,0.104525
-1.0,7.25,-1.0,159.0,377.5,2.665,0.1228235
-1.0,6.6,-1.0,158.0,352.5,2.02,0.132618
-1.0,7.75,-1.0,159.5,318.5,2.535,0.13081
-1.0,6.5,-1.0,158.5,328.5,2.69,0.132048
-1.0,6.1,-1.0,158.0,327.5,3.54,0.120063
-1.0,7.2,-1.0,157.0,326.0,1.795,0.09471275
-1.0,6.6,-1.0,156.5,335.0,2.14,0.138966
-1.0,5.6,-1.0,159.5,367.0,2.578,0.17064225
-1.0,7.3,-1.0,158.5,316.5,1.893,0.09683
-1.0,6.1,-1.0,154.5,367.5,1.365,0.12241125
-1.0,5.05,-1.0,158.0,281.5,2.205,0.11009025
-1.0,5.85,-1.0,155.5,289.0,2.635,0.110708
-1.0,5.85,-1.0,158.0,274.0,2.175,0.12428
-1.0,7.95,-1.0,154.5,356.0,2.485,0.1523505
-1.0,4.5,-1.0,153.0,285.0,1.875,0.092715
-1.0,6.7,-1.0,159.0,312.0,1.765,0.12625025
-1.0,7.5,-1.0,154.0,367.5,1.798,0.152724
-1.0,8.35,-1.0,158.5,327.0,1.568,0.14487275
-1.0,4.55,-1.0,157.5,367.5,2.2,0.1189365
-1.0,7.2,-1.0,154.5,362.0,2.78,0.1385775
-1.0,7.7,-1.0,158.0,470.0,3.443,0.243152
-1.0,6.55,-1.0,155.5,335.5,1.895,0.1404735
-1.0,7.35,-1.0,158.0,395.0,2.433,0.112578
-1.0,4.6,-1.0,157.5,291.0,2.253,0.113442
-1.0,5.75,-1.0,158.5,261.0,1.81,0.082407
-1.0,5.95,-1.0,156.0,371.5,2.675,0.177703
-1.0,7.45,-1.0,158.0,390.0,2.063,0.13164375
-1.0,8.2,-1.0,156.0,400.5,3.283,0.306061
-1.0,8.65,-1.0,157.5,332.0,2.813,0.1538745
-1.0,7.05,-1.0,159.5,321.0,2.155,0.142632
-1.0,7.95,-1.0,158.5,426.0,2.258,0.179508
-1.0,10.75,-1.0,158.0,492.5,2.213,0.25140825
-1.0,6.95,-1.0,157.5,345.0,4.193,0.217516
-1.0,7.2,-1.0,154.0,333.5,2.87,0.154808
-1.0,11.75,-1.0,159.0,481.0,3.033,0.25142
-1.0,6.45,-1.0,155.5,326.5,2.51,0.143091
70.0,14.4,10.95,104.0,173.0,0.335,0.04055975
94.0,7.4,7.85,124.5,124.5,1.04,0.0586585
112.5,13.5,13.45,156.0,296.5,2.178,0.18629425
115.0,7.55,16.3,156.5,401.0,3.193,0.11867075
-1.0,7.7,-1.0,159.0,395.5,2.995,0.2256975
-1.0,6.15,-1.0,158.0,426.0,3.133,0.185364
-1.0,8.1,-1.0,160.0,368.0,2.26,0.126368
-1.0,7.3,-1.0,159.5,372.5,1.83,0.12478125
-1.0,7.35,-1.0,160.0,334.0,2.605,0.135346
-1.0,7.0,-1.0,154.0,268.0,1.72,0.133731
-1.0,6.65,-1.0,157.0,326.5,3.04,0.13022
-1.0,6.1,-1.0,158.5,333.0,1.973,0.1267275
-1.0,5.2,-1.0,158.0,361.0,2.1,0.1282905
-1.0,6.05,-1.0,158.5,310.5,1.91,0.11313
92.5,12.1,9.3,132.0,273.0,1.33,0.10303225
104.0,14.25,11.65,158.0,350.0,3.353,0.154836
80.5,11.65,10.0,118.5,288.0,2.395,0.16818375
70.0,8.15,11.05,110.5,120.0,0.785,0.03426575
-1.0,11.0,-1.0,158.0,389.0,2.995,0.155038
-1.0,6.9,-1.0,159.5,301.0,1.843,0.1261975
-1.0,8.25,-1.0,159.0,406.0,1.995,0.1673925
-1.0,8.65,-1.0,157.0,415.0,2.678,0.2461745
89.0,12.95,12.25,132.0,261.5,2.058,0.122722
78.0,11.9,12.85,112.0,218.5,1.278,0.0605115
71.0,11.4,11.85,108.0,224.0,1.483,0.06156
68.0,8.95,9.4,108.0,224.0,1.398,0.05562
83.0,12.4,11.15,132.0,257.0,1.578,0.10414625
68.0,14.4,10.65,104.0,193.0,1.303,0.057913
86.5,12.75,12.9,135.0,325.0,2.503,0.1768125
78.0,16.75,13.55,118.5,252.5,1.613,0.1641465
73.5,11.7,13.55,112.0,213.0,0.843,0.03175375
91.0,9.8,12.9,147.0,262.0,1.27,0.085504
105.0,8.3,9.85,159.0,274.0,1.57,0.08292375
76.5,8.3,6.85,112.0,317.5,0.97,0.0881265
107.5,13.55,10.85,158.0,325.5,2.095,0.17381475
122.0,15.2,15.6,158.5,386.0,2.21,0.1769355
-1.0,9.25,-1.0,158.5,377.0,2.15,0.130445
-1.0,5.3,-1.0,158.0,390.0,2.53,0.18961425
-1.0,6.55,-1.0,156.5,292.5,2.675,0.1393975
97.0,14.7,13.9,135.0,382.5,3.19,0.137016
100.5,14.25,14.15,150.5,346.5,2.695,0.18502525
94.5,13.65,13.3,138.0,347.5,2.333,0.108979
94.5,12.1,13.7,146.0,357.5,2.105,0.1333495
105.0,14.5,11.7,155.5,382.0,3.15,0.36997525
93.0,17.55,15.4,154.5,341.5,2.703,0.142188
69.0,7.5,6.6,112.0,173.0,0.84,0.078565
84.0,9.3,7.1,135.0,97.0,0.435,0.03588975
75.0,5.8,9.2,104.0,191.0,0.37,0.0648055
86.5,12.05,9.9,124.5,269.5,1.86,0.08259475
69.0,13.75,11.35,118.5,159.5,1.068,0.059475
88.5,7.05,7.0,118.5,113.5,0.823,0.0455305
73.0,3.3,12.1,108.0,198.5,0.948,0.0772075
71.0,9.8,13.35,117.0,176.0,0.873,0.06498
70.0,13.5,9.25,104.0,195.0,0.62,0.064957
94.5,12.05,14.65,146.5,332.5,1.895,0.156906
