SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,SYNTHETIC_HGT,SYNTHETIC_PAN,Crude_protein
0.72,0.64,0.6,-1.0,0.024776,0.071669,0.044323,0.36669,12.3062,-1.0,53.8058,340678.215,3832732.2025,1.0,1.0,33.0,0.0,163.0,17.6666666667,5.77
0.65,0.5,0.47,-1.0,0.026419,0.049228,0.17624,0.34643,15.6168,-1.0,53.0303,340679.781,3832736.63125,0.0,0.0,0.0,0.0,220.0,35.0,2.84
1.55,-1.0,1.41,-1.0,0.027811,0.065695,0.20848,0.23621,10.5255,-1.0,26.5951,340681.298625,3832740.92,1.0,3.0,14.0,9.0,240.0,-1.0,6.1
0.96,-1.0,0.76,-1.0,0.027392,0.081218,0.31482,0.34609,17.9686,-1.0,69.0201,340682.81225,3832745.1975,2.0,1.0,26.0,3.0,160.0,-1.0,7.86
1.23,-1.0,1.03,-1.0,0.036703,0.099548,0.14663,0.25418,12.4679,-1.0,73.1916,340684.357,3832749.56375,2.0,1.0,32.0,0.0,173.666666667,-1.0,6.05
1.11,-1.0,0.85,-1.0,0.041034,0.092059,0.24634,0.14269,4.1249,-1.0,62.1671,340685.885375,3832753.88375,2.0,1.0,10.0,0.0,105.333333333,-1.0,6.74
2.09,-1.0,1.69,-1.0,0.046383,0.06476,0.25717,0.37873,10.2815,-1.0,45.4067,340687.402125,3832758.1725,2.0,1.0,32.0,0.0,305.0,-1.0,4.39
1.63,-1.0,1.46,-1.0,0.035991,0.079951,0.25046,0.36414,14.7729,-1.0,66.4003,340688.935,3832762.50625,2.0,1.0,10.0,4.0,248.333333333,-1.0,4.87
1.88,-1.0,1.65,-1.0,0.058608,0.084963,0.28886,0.26686,8.1924,-1.0,62.0595,340690.416625,3832766.6925,2.0,1.0,10.0,0.0,201.666666667,-1.0,7.82
1.18,-1.0,0.96,-1.0,-1.0,0.079846,0.18361,0.30574,11.7629,-1.0,49.0151,340691.877375,3832771.0,2.0,1.0,17.0,0.0,180.0,-1.0,6.46
1.28,-1.0,1.07,0.63549,0.034115,0.070905,0.071457,0.22741,21.4109,-1.0,54.2736,340693.370625,3832775.21375,2.0,3.0,20.0,6.0,190.666666667,-1.0,7.26
0.98,-1.0,0.82,0.57429,-1.0,0.085175,0.19396,0.22826,6.8708,-1.0,57.5528,340694.85,3832779.3925,2.0,1.0,10.0,0.0,168.666666667,-1.0,9.69
1.27,-1.0,1.02,-1.0,-1.0,0.076998,0.44068,0.2298,19.4837,-1.0,66.3888,340696.37,3832783.68375,2.0,1.0,10.0,15.0,204.0,-1.0,6.87
1.45,-1.0,1.22,0.32513,-1.0,0.055459,0.14782,0.524135,21.9305,-1.0,22.2576,340646.2765,3832651.48875,2.0,1.0,10.0,0.0,199.333333333,-1.0,5.59
0.99,-1.0,0.78,0.66547,-1.0,0.082811,0.3196,0.42427,22.3634,-1.0,19.0794,340647.78925,3832655.76375,2.0,1.0,21.0,7.0,139.333333333,-1.0,8.67
0.99,-1.0,0.78,0.054595,0.093932,0.092866,0.41827,0.438745,23.3928,-1.0,65.0326,340649.328625,3832660.11,2.0,1.0,21.0,7.0,108.333333333,-1.0,10.63
1.39,-1.0,1.14,0.59142,0.026514,0.079158,0.35758,0.30228,9.1084,-1.0,25.6674,340650.865375,3832664.29125,2.0,3.0,10.0,0.0,234.0,-1.0,4.8
1.46,-1.0,1.26,0.22311,0.072039,0.074076,0.29886,0.294365,17.5751,-1.0,40.5231,340652.377625,3832668.565,2.0,1.0,0.0,2.0,128.333333333,-1.0,10.03
0.7,-1.0,0.56,0.32153,0.058232,0.059646,0.18956,0.31204,10.9384,-1.0,39.1439,340653.902,3832672.87375,2.0,1.0,0.0,9.0,110.333333333,-1.0,9.73
0.93,-1.0,0.76,0.25524,0.065263,0.088428,0.29876,0.2344775,13.1113,-1.0,35.5778,340655.423375,3832677.17375,2.0,1.0,10.0,0.0,97.0,-1.0,10.51
1.58,-1.0,1.28,0.067038,0.043328,0.080596,0.25231,0.182845,3.1068,-1.0,45.6698,340657.00725,3832681.65125,2.0,1.0,10.0,0.0,173.0,-1.0,6.97
0.9,-1.0,0.67,0.5789,0.052439,0.081011,0.32365,0.37461,16.3862,-1.0,58.1521,340658.562375,3832686.05,2.0,1.0,21.0,7.0,95.3333333333,-1.0,10.33
2.03,-1.0,1.81,0.56739,0.046395,0.092359,0.36101,0.326,29.7307,-1.0,63.6589,340660.06425,3832690.2925,2.0,1.0,29.0,2.0,244.666666667,-1.0,5.89
1.19,-1.0,1.02,0.96,0.026083,0.07472,0.35736,0.49054,24.6229,-1.0,44.7005,340661.574875,3832694.56,2.0,1.0,21.0,7.0,154.333333333,-1.0,8.86
1.82,-1.0,1.58,0.87401,0.037769,0.074914,0.35426,0.336005,12.7909,-1.0,45.5237,340663.155875,3832699.0275,2.0,1.0,10.0,0.0,230.0,-1.0,5.48
1.11,-1.0,0.93,0.53236,0.053312,0.097062,0.27455,0.26722,9.9922,-1.0,42.6879,340664.65625,3832703.27,2.0,1.0,32.0,0.0,159.333333333,-1.0,7.17
0.55,-1.0,0.48,0.9928,0.031683,0.088993,0.33301,0.24236,16.7366,-1.0,61.1298,340666.07375,3832707.2725,2.0,1.0,3.0,7.0,102.0,-1.0,10.07
1.69,1.63,1.45,0.68286,0.047381,0.078869,0.36371,0.38512,11.4762,-1.0,55.4826,340667.621,3832711.6475,1.0,3.0,0.0,0.0,313.333333333,17.3333333333,4.72
1.58,-1.0,1.31,0.55973,0.095305,0.076141,0.14087,0.18594,3.6483,-1.0,34.7984,340669.16025,3832715.995,2.0,1.0,10.0,0.0,169.666666667,-1.0,8.57
0.97,-1.0,0.84,0.20387,0.069414,0.083521,0.33036,0.50137,22.961,-1.0,43.9715,340670.666125,3832720.2525,2.0,1.0,21.0,7.0,127.0,-1.0,9.11
0.9,-1.0,0.72,0.67054,0.053194,0.068576,0.36951,0.30374,15.3167,-1.0,21.3794,340672.171375,3832724.5075,2.0,1.0,0.0,9.0,98.0,-1.0,8.37
0.87,-1.0,0.78,0.59794,0.074782,0.083199,0.35348,0.46839,22.2923,-1.0,51.687,340673.698875,3832728.8225,2.0,1.0,36.0,9.0,155.666666667,-1.0,9.03
1.38,-1.0,1.18,0.37458,0.059188,0.078093,0.40021,0.37137,15.2031,-1.0,57.1264,340675.271625,3832733.2675,2.0,3.0,10.0,0.0,207.333333333,-1.0,7.02
1.91,1.88,1.64,0.31059,0.070695,0.07666,0.21683,0.456345,14.2618,-1.0,34.9964,340676.821875,3832737.6525,2.0,3.0,26.0,0.0,261.666666667,9.66666666667,4.85
0.79,-1.0,0.6,0.68772,0.068726,0.075243,0.33381,0.352915,17.0951,-1.0,36.1486,340678.371875,3832742.02875,2.0,1.0,21.0,7.0,120.666666667,-1.0,11.89
0.81,-1.0,0.61,0.38242,0.039957,0.085641,0.37587,0.257345,14.1992,-1.0,46.4147,340679.882,3832746.29875,2.0,1.0,0.0,2.0,124.666666667,-1.0,10.31
