SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,NEG_OARDC
226.0,224.0,241.0,0.73,0.67,0.64,24.0,25.0,21.0,-1.0,0.029596,0.079138,0.32878,0.34945,15.1893,-1.0,42.877,35.63
296.0,281.0,276.0,1.7,1.66,1.5,16.0,18.0,16.0,-1.0,0.094259,0.073168,0.30438,0.72293,12.695,-1.0,70.9437,41.41
204.0,202.0,242.0,1.0,0.93,0.87,27.0,19.0,17.0,-1.0,0.022241,0.079645,0.25261,0.54129,14.9563,-1.0,55.5846,39.62
165.0,165.0,167.0,0.52,0.35,0.32,33.0,23.0,31.0,-1.0,0.034061,0.04885,0.22341,0.53882,19.8263,-1.0,36.0411,24.91
225.0,214.0,227.0,1.67,1.61,1.52,17.0,16.0,15.0,-1.0,0.022844,0.064525,0.30016,0.40188,15.7823,-1.0,57.4321,34.89
200.0,188.0,213.0,0.77,0.69,0.67,21.0,22.0,20.0,-1.0,0.026378,0.068911,0.26245,0.36509,9.6076,-1.0,22.4069,34.39
166.0,176.0,147.0,0.72,0.64,0.6,15.0,19.0,19.0,-1.0,0.024776,0.071669,0.044323,0.36669,12.3062,-1.0,53.8058,34.47
213.0,213.0,234.0,0.65,0.5,0.47,33.0,34.0,38.0,-1.0,0.026419,0.049228,0.17624,0.34643,15.6168,-1.0,53.0303,22.44
242.0,225.0,253.0,1.55,-1.0,1.41,-1.0,-1.0,-1.0,-1.0,0.027811,0.065695,0.20848,0.23621,10.5255,-1.0,26.5951,32.72
160.0,168.0,152.0,0.96,-1.0,0.76,-1.0,-1.0,-1.0,-1.0,0.027392,0.081218,0.31482,0.34609,17.9686,-1.0,69.0201,31.04
181.0,172.0,168.0,1.23,-1.0,1.03,-1.0,-1.0,-1.0,-1.0,0.036703,0.099548,0.14663,0.25418,12.4679,-1.0,73.1916,31.48
111.0,102.0,103.0,1.11,-1.0,0.85,-1.0,-1.0,-1.0,-1.0,0.041034,0.092059,0.24634,0.14269,4.1249,-1.0,62.1671,30.18
264.0,321.0,330.0,2.09,-1.0,1.69,-1.0,-1.0,-1.0,-1.0,0.046383,0.06476,0.25717,0.37873,10.2815,-1.0,45.4067,28.06
245.0,252.0,248.0,1.63,-1.0,1.46,-1.0,-1.0,-1.0,-1.0,0.035991,0.079951,0.25046,0.36414,14.7729,-1.0,66.4003,28.89
213.0,178.0,214.0,1.88,-1.0,1.65,-1.0,-1.0,-1.0,-1.0,0.058608,0.084963,0.28886,0.26686,8.1924,-1.0,62.0595,32.8
187.0,183.0,170.0,1.18,-1.0,0.96,-1.0,-1.0,-1.0,-1.0,-1.0,0.079846,0.18361,0.30574,11.7629,-1.0,49.0151,28.01
185.0,189.0,198.0,1.28,-1.0,1.07,-1.0,-1.0,-1.0,0.63549,0.034115,0.070905,0.071457,0.22741,21.4109,-1.0,54.2736,30.26
174.0,166.0,166.0,0.98,-1.0,0.82,-1.0,-1.0,-1.0,0.57429,-1.0,0.085175,0.19396,0.22826,6.8708,-1.0,57.5528,29.56
220.0,198.0,194.0,1.27,-1.0,1.02,-1.0,-1.0,-1.0,-1.0,-1.0,0.076998,0.44068,0.2298,19.4837,-1.0,66.3888,32.82
197.0,224.0,177.0,1.45,-1.0,1.22,-1.0,-1.0,-1.0,0.32513,-1.0,0.055459,0.14782,0.524135,21.9305,-1.0,22.2576,28.39
143.0,167.0,108.0,0.99,-1.0,0.78,-1.0,-1.0,-1.0,0.66547,-1.0,0.082811,0.3196,0.42427,22.3634,-1.0,19.0794,29.22
109.0,109.0,107.0,0.99,-1.0,0.78,-1.0,-1.0,-1.0,0.054595,0.093932,0.092866,0.41827,0.438745,23.3928,-1.0,65.0326,35.41
228.0,234.0,240.0,1.39,-1.0,1.14,-1.0,-1.0,-1.0,0.59142,0.026514,0.079158,0.35758,0.30228,9.1084,-1.0,25.6674,29.89
143.0,134.0,108.0,1.46,-1.0,1.26,-1.0,-1.0,-1.0,0.22311,0.072039,0.074076,0.29886,0.294365,17.5751,-1.0,40.5231,33.26
110.0,110.0,111.0,0.7,-1.0,0.56,-1.0,-1.0,-1.0,0.32153,0.058232,0.059646,0.18956,0.31204,10.9384,-1.0,39.1439,32.33
102.0,97.0,92.0,0.93,-1.0,0.76,-1.0,-1.0,-1.0,0.25524,0.065263,0.088428,0.29876,0.2344775,13.1113,-1.0,35.5778,34.97
163.0,176.0,180.0,1.58,-1.0,1.28,-1.0,-1.0,-1.0,0.067038,0.043328,0.080596,0.25231,0.182845,3.1068,-1.0,45.6698,30.19
94.0,97.0,95.0,0.9,-1.0,0.67,-1.0,-1.0,-1.0,0.5789,0.052439,0.081011,0.32365,0.37461,16.3862,-1.0,58.1521,32.69
243.0,254.0,237.0,2.03,-1.0,1.81,-1.0,-1.0,-1.0,0.56739,0.046395,0.092359,0.36101,0.326,29.7307,-1.0,63.6589,29.05
153.0,153.0,157.0,1.19,-1.0,1.02,-1.0,-1.0,-1.0,0.96,0.026083,0.07472,0.35736,0.49054,24.6229,-1.0,44.7005,28.8
228.0,235.0,227.0,1.82,-1.0,1.58,-1.0,-1.0,-1.0,0.87401,0.037769,0.074914,0.35426,0.336005,12.7909,-1.0,45.5237,24.31
171.0,136.0,171.0,1.11,-1.0,0.93,-1.0,-1.0,-1.0,0.53236,0.053312,0.097062,0.27455,0.26722,9.9922,-1.0,42.6879,30.24
101.0,108.0,97.0,0.55,-1.0,0.48,-1.0,-1.0,-1.0,0.9928,0.031683,0.088993,0.33301,0.24236,16.7366,-1.0,61.1298,28.0
305.0,315.0,320.0,1.69,1.63,1.45,18.0,17.0,17.0,0.68286,0.047381,0.078869,0.36371,0.38512,11.4762,-1.0,55.4826,35.21
186.0,152.0,171.0,1.58,-1.0,1.31,-1.0,-1.0,-1.0,0.55973,0.095305,0.076141,0.14087,0.18594,3.6483,-1.0,34.7984,30.06
134.0,126.0,121.0,0.97,-1.0,0.84,-1.0,-1.0,-1.0,0.20387,0.069414,0.083521,0.33036,0.50137,22.961,-1.0,43.9715,31.93
87.0,110.0,97.0,0.9,-1.0,0.72,-1.0,-1.0,-1.0,0.67054,0.053194,0.068576,0.36951,0.30374,15.3167,-1.0,21.3794,32.34
168.0,165.0,134.0,0.87,-1.0,0.78,-1.0,-1.0,-1.0,0.59794,0.074782,0.083199,0.35348,0.46839,22.2923,-1.0,51.687,34.24
212.0,206.0,204.0,1.38,-1.0,1.18,-1.0,-1.0,-1.0,0.37458,0.059188,0.078093,0.40021,0.37137,15.2031,-1.0,57.1264,31.45
258.0,279.0,248.0,1.91,1.88,1.64,11.0,12.0,6.0,0.31059,0.070695,0.07666,0.21683,0.456345,14.2618,-1.0,34.9964,29.46
118.0,122.0,122.0,0.79,-1.0,0.6,-1.0,-1.0,-1.0,0.68772,0.068726,0.075243,0.33381,0.352915,17.0951,-1.0,36.1486,33.81
128.0,131.0,115.0,0.81,-1.0,0.61,-1.0,-1.0,-1.0,0.38242,0.039957,0.085641,0.37587,0.257345,14.1992,-1.0,46.4147,32.05
275.0,251.0,263.0,1.13,1.08,1.04,21.0,18.0,18.0,0.33467,0.069112,0.075529,0.37755,0.54169,18.1308,-1.0,35.7655,35.27
126.0,132.0,131.0,0.73,-1.0,0.6,-1.0,-1.0,-1.0,0.17382,0.049811,0.078358,0.2569,0.211335,4.5784,-1.0,43.0078,30.93
168.0,136.0,131.0,1.25,-1.0,1.07,-1.0,-1.0,-1.0,0.66813,0.078057,0.08222,0.35248,0.379385,13.6431,-1.0,68.5465,34.02
301.0,304.0,299.0,2.65,-1.0,2.27,-1.0,-1.0,-1.0,0.046983,0.040578,0.093404,0.30981,0.361975,10.398,-1.0,63.9582,25.45
224.0,233.0,248.0,1.6,-1.0,1.41,-1.0,-1.0,-1.0,0.040467,0.04889,0.076627,0.2723,0.279955,7.8061,-1.0,42.2963,28.6
166.0,172.0,200.0,1.3,-1.0,1.06,-1.0,-1.0,-1.0,0.21839,0.072504,0.070957,0.28836,0.416195,15.793,-1.0,50.4141,31.12
