Plot ID,RA1,RW,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,Notes
SF-BE-r2-p1647,4,63,210,214,180,0.91,NA,0.76,NA,NA,NA,
SF-BE-r2-p1651,4,67,143,137,155,0.64,NA,0.51,NA,NA,NA,
SF-BE-r2-p1655,4,71,202,183,194,1.48,NA,1.33,NA,NA,NA,
SF-BE-r2-p1659,4,75,157,147,172,0.92,NA,0.75,NA,NA,NA,
SF-BE-r2-p1663,4,79,137,123,129,0.89,NA,0.70,NA,NA,NA,
SF-BE-r2-p1667,4,83,125,131,98,0.91,NA,0.73,NA,NA,NA,
SF-BE-r2-p1671,4,87,107,117,117,0.56,NA,0.45,NA,NA,NA,
SF-BE-r2-p1675,4,91,191,201,178,0.64,0.59,0.53,24,22,21,
SF-BE-r2-p1679,4,95,72,79,91,0.21,0.18,0.11,31,24,19,
SF-BE-r2-p1683,4,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p1687,5,51,121,137,136,0.84,NA,0.76,NA,NA,NA,
SF-BE-r2-p1691,5,55,100,96,95,1.10,NA,0.89,NA,NA,NA,
SF-BE-r2-p1695,5,59,110,107,114,0.61,NA,0.48,NA,NA,NA,
SF-BE-r2-p1699,5,63,52,44,50,0.38,NA,0.22,NA,NA,NA,
SF-BE-r2-p1703,5,67,115,91,105,0.61,NA,0.52,NA,NA,NA,
SF-BE-r2-p1707,5,71,102,116,94,0.78,NA,0.68,NA,NA,NA,
SF-BE-r2-p1711,5,75,160,163,159,1.01,NA,0.88,NA,NA,NA,
SF-BE-r2-p1715,5,79,120,126,136,0.51,NA,0.45,NA,NA,NA,
SF-BE-r2-p1719,5,83,212,197,195,1.13,1.11,1.06,17,17,17,
SF-BE-r2-p1723,5,87,162,154,158,0.76,0.74,0.62,21,10,18,
SF-BE-r2-p1727,5,91,257,306,286,1.21,NA,1.00,NA,NA,NA,
SF-BE-r2-p1731,5,95,71,76,72,0.12,0.06,0.05,20,20,20,
SF-BE-r2-p1735,5,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p1739,6,51,85,104,90,0.73,NA,0.62,NA,NA,NA,
SF-BE-r2-p1743,6,55,176,189,203,1.01,0.95,0.73,36,32,28,
SF-BE-r2-p1747,6,59,181,150,175,1.10,NA,0.90,NA,NA,NA,
SF-BE-r2-p1751,6,63,146,152,157,0.66,NA,0.53,NA,NA,NA,
SF-BE-r2-p1755,6,67,229,235,216,1.57,NA,1.33,NA,NA,NA,
SF-BE-r2-p1759,6,71,97,78,82,0.60,NA,0.54,NA,NA,NA,
SF-BE-r2-p1763,6,75,127,130,111,1.09,NA,0.88,NA,NA,NA,
SF-BE-r2-p1767,6,79,132,133,131,0.75,NA,0.62,NA,NA,NA,
SF-BE-r2-p1771,6,83,217,209,224,0.78,0.69,0.64,25,24,22,
SF-BE-r2-p1775,6,87,187,210,200,1.24,1.18,1.05,18,19,18,
SF-BE-r2-p1779,6,91,238,227,233,0.81,0.79,0.72,18,16,19,
SF-BE-r2-p1783,6,95,147,166,141,0.50,0.45,0.41,15,14,16,
SF-BE-r2-p1787,6,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p1791,7,51,156,163,188,1.70,NA,1.45,NA,NA,NA,
SF-BE-r2-p1795,7,55,130,109,111,1.06,NA,0.89,NA,NA,NA,
SF-BE-r2-p1799,7,59,141,151,164,2.41,NA,2.04,NA,NA,NA,
SF-BE-r2-p1803,7,63,197,201,216,1.58,NA,1.33,NA,NA,NA,
SF-BE-r2-p1807,7,67,242,265,247,1.74,1.70,1.53,16,13,14,
SF-BE-r2-p1811,7,71,192,199,183,1.58,NA,1.37,NA,NA,NA,
SF-BE-r2-p1815,7,75,315,300,256,1.41,1.36,1.17,14,18,20,
SF-BE-r2-p1819,7,79,97,78,95,0.77,NA,0.61,NA,NA,NA,
SF-BE-r2-p1823,7,83,206,203,202,0.34,0.28,0.22,22,19,21,
SF-BE-r2-p1827,7,87,134,136,150,0.16,0.12,0.11,15,18,17,
SF-BE-r2-p1831,7,91,174,189,182,0.67,0.61,0.59,22,20,20,
SF-BE-r2-p1835,7,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p1839,7,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p1843,8,51,193,197,218,1.69,NA,1.34,NA,NA,NA,
SF-BE-r2-p1847,8,55,216,213,219,0.71,0.53,0.48,45,40,39,
SF-BE-r2-p1851,8,59,133,168,146,1.00,NA,0.84,NA,NA,NA,
SF-BE-r2-p1855,8,63,90,100,79,0.44,NA,0.32,NA,NA,NA,
SF-BE-r2-p1859,8,67,88,95,88,1.21,NA,1.06,NA,NA,NA,
SF-BE-r2-p1863,8,71,247,235,256,1.60,NA,1.29,NA,NA,NA,
SF-BE-r2-p1867,8,75,231,226,235,0.86,0.84,0.79,17,20,13,
SF-BE-r2-p1871,8,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p1875,8,83,182,172,176,0.41,0.37,0.33,25,20,21,
SF-BE-r2-p1879,8,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p1883,8,91,164,162,166,0.47,0.41,0.37,17,16,15,
SF-BE-r2-p1887,8,95,89,90,86,0.31,0.27,0.20,30,30,27,
SF-BE-r2-p1891,8,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p1895,9,51,280,302,260,0.75,0.74,0.66,33,26,32,
SF-BE-r2-p1899,9,55,123,132,133,0.71,NA,0.58,NA,NA,NA,
SF-BE-r2-p1903,9,59,130,132,115,1.42,NA,1.16,NA,NA,NA,
SF-BE-r2-p1907,9,63,170,182,184,1.24,NA,1.11,NA,NA,NA,
SF-BE-r2-p1911,9,67,95,107,97,0.66,NA,0.58,NA,NA,NA,
SF-BE-r2-p1915,9,71,95,75,82,0.94,NA,0.80,NA,NA,NA,
SF-BE-r2-p1919,9,75,140,146,150,1.35,NA,1.15,NA,NA,NA,
SF-BE-r2-p1923,9,79,96,119,126,0.77,NA,0.58,NA,NA,NA,
SF-BE-r2-p1927,9,83,196,188,172,1.04,NA,0.89,NA,NA,NA,
SF-BE-r2-p1931,9,87,154,165,156,0.79,0.74,0.67,20,17,18,
SF-BE-r2-p1935,9,91,172,182,159,1.11,NA,0.94,NA,NA,NA,
