Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0375,41.17,0.68,12.9,67.91,1.84,8.84,7.65,92.02,1.06,5.51,32.26,85.14,59.2,55.15,16.49,66.08,0.65,72.84,9.68,35.66,29.51
SF16-BE-r1-p0379,35.35,0.53,11.91,61.78,4.92,10.7,29.21,91.73,0.97,4.35,32.12,67.46,60.5,57.68,23.28,109.08,0.32,62.22,11.85,31,28.81
SF16-BE-r1-p0383,32.97,0.52,10.83,58.11,4.87,11.36,26.09,92.42,0.91,5.1,32.84,69.51,61.37,59.43,29.49,119.66,0.89,61.62,16.98,27.87,28.05
SF16-BE-r1-p0387,45.71,0.79,9.36,72.14,3.11,5.35,19.4,91.8,1.03,5.95,25.62,73.29,55.24,50.18,20.58,-3.74,-0.05,56.58,9.58,39.76,28.33
SF16-BE-r1-p0391,29.2,0.62,5.94,53.94,3.04,5.67,15.81,92.23,0.79,4.49,37.4,70.12,66.03,63.69,39.29,18.21,1.1,65.43,31.81,24.71,26.22
SF16-BE-r1-p0395,33.38,0.63,6.09,59.7,3.41,3.11,28.41,91.25,0.88,5.58,32.09,72.93,60.64,56.9,32.62,-20.7,0.46,65.4,22.72,27.8,26.97
SF16-BE-r1-p0399,39.16,0.59,6.23,66.85,2.47,3.53,19.17,93,0.85,6.47,28.23,63.87,58.2,52.56,24.93,15.47,0.67,60.34,18.21,32.69,29.32
SF16-BE-r1-p0403,34.59,0.52,11.56,57.68,4.03,10.33,23.43,92.02,0.91,5.17,32.69,66.89,60.87,58.78,27.74,110.56,0.81,61.91,16.93,29.42,25.85
SF16-BE-r1-p0407,39.81,0.54,10.22,67.86,2.8,8.53,23.56,92.4,0.95,5.12,30.6,71.75,59.65,54.42,19.57,78.92,0.36,65.55,9.88,34.69,30.27
SF16-BE-r1-p0411,34.48,0.55,8.17,60.75,2.91,6.83,26.8,91.11,0.93,5.74,32.68,73.31,60.59,56.47,28.57,43.07,0.29,67.43,17.59,28.74,27.76
SF16-BE-r1-p0415,35.81,0.51,8.82,62.31,3.34,8.36,27.79,91.46,0.92,4.76,32.54,70.63,61.28,56.58,24.5,73.9,0.41,66.54,15.26,31.05,28.59
