PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r2-p1571,PI_569418,2,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1571,MATURITY
SF-BE-r2-p1571,PI_569418,2,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1571,
SF-BE-r2-p1573,PI_455217,2,53,1 of 4,,,SF-BE-r2-p1573,
SF-BE-r2-p1575,PI_455217,2,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1575,ANTHESIS
SF-BE-r2-p1575,PI_455217,2,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1575,MATURITY
SF-BE-r2-p1575,PI_455217,2,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1575,
SF-BE-r2-p1577,PI_563196,2,57,1 of 4,,,SF-BE-r2-p1577,
SF-BE-r2-p1579,PI_563196,2,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1579,ANTHESIS
SF-BE-r2-p1579,PI_563196,2,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1579,MATURITY
SF-BE-r2-p1579,PI_563196,2,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1579,
SF-BE-r2-p1581,CHECK,2,61,1 of 4,,,SF-BE-r2-p1581,
SF-BE-r2-p1583,CHECK,2,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1583,ANTHESIS
SF-BE-r2-p1583,CHECK,2,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1583,MATURITY
SF-BE-r2-p1583,CHECK,2,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1583,
SF-BE-r2-p1585,PI_563002,2,65,1 of 4,,,SF-BE-r2-p1585,
SF-BE-r2-p1587,PI_563002,2,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1587,ANTHESIS
SF-BE-r2-p1587,PI_563002,2,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1587,MATURITY
SF-BE-r2-p1587,PI_563002,2,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1587,
SF-BE-r2-p1589,PI_570076,2,69,1 of 4,,,SF-BE-r2-p1589,
SF-BE-r2-p1591,PI_570076,2,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1591,ANTHESIS
SF-BE-r2-p1591,PI_570076,2,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1591,MATURITY
SF-BE-r2-p1591,PI_570076,2,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1591,
SF-BE-r2-p1593,PI_563009,2,73,1 of 4,,,SF-BE-r2-p1593,
SF-BE-r2-p1595,PI_563009,2,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1595,ANTHESIS
SF-BE-r2-p1595,PI_563009,2,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1595,MATURITY
SF-BE-r2-p1595,PI_563009,2,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1595,
SF-BE-r2-p1597,PI_570388,2,77,1 of 4,,,SF-BE-r2-p1597,
SF-BE-r2-p1599,PI_570388,2,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1599,ANTHESIS
SF-BE-r2-p1599,PI_570388,2,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1599,MATURITY
SF-BE-r2-p1599,PI_570388,2,79,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1599,
SF-BE-r1-p0097,PI_535783,3,1,1 of 4,,,SF-BE-r1-p0097,
SF-BE-r1-p0099,PI_535783,3,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0099,ANTHESIS
SF-BE-r1-p0099,PI_535783,3,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0099,MATURITY
SF-BE-r1-p0099,PI_535783,3,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0099,
SF-BE-r1-p0101,PI_653617,3,5,1 of 4,,,SF-BE-r1-p0101,
SF-BE-r1-p0103,PI_653617,3,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0103,ANTHESIS
SF-BE-r1-p0103,PI_653617,3,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0103,MATURITY
SF-BE-r1-p0103,PI_653617,3,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0103,
SF-BE-r1-p0105,PI_213900,3,9,1 of 4,,,SF-BE-r1-p0105,
SF-BE-r1-p0107,PI_213900,3,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0107,ANTHESIS
SF-BE-r1-p0107,PI_213900,3,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0107,MATURITY
SF-BE-r1-p0107,PI_213900,3,11,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0107,
SF-BE-r1-p0109,PI_641817,3,13,1 of 4,,,SF-BE-r1-p0109,
SF-BE-r1-p0111,PI_641817,3,15,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0111,ANTHESIS
SF-BE-r1-p0111,PI_641817,3,15,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0111,MATURITY
SF-BE-r1-p0111,PI_641817,3,15,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0111,
SF-BE-r1-p0113,PI_563021,3,17,1 of 4,,,SF-BE-r1-p0113,
SF-BE-r1-p0115,PI_563021,3,19,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0115,ANTHESIS
SF-BE-r1-p0115,PI_563021,3,19,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0115,MATURITY
SF-BE-r1-p0115,PI_563021,3,19,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0115,
SF-BE-r1-p0117,PI_570071,3,21,1 of 4,,,SF-BE-r1-p0117,
SF-BE-r1-p0119,PI_570071,3,23,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0119,ANTHESIS
SF-BE-r1-p0119,PI_570071,3,23,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0119,MATURITY
SF-BE-r1-p0119,PI_570071,3,23,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0119,
SF-BE-r1-p0121,PI_514456,3,25,1 of 4,,,SF-BE-r1-p0121,
SF-BE-r1-p0123,PI_514456,3,27,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0123,ANTHESIS
